最大何倍株	オーナー株%	売上成長率_平均	経常利益率_平均	想定時価総額	売買回転率
5.1	93.07	26.7	14.3	3621000000.0	53.207
1.9	41.49	50.1	8.5	4088642800.0	3.064
4.1	62.78999999999999	352.7	24.9	3077620000.0	202.893
4.1	62.78999999999999	352.7	24.9	3077620000.0	202.893
4.1	62.78999999999999	352.7	24.9	3077620000.0	202.893
4.1	62.78999999999999	352.7	24.9	3077620000.0	202.893
4.1	62.78999999999999	28.6	6.1	3077620000.0	202.893
4.1	62.78999999999999	28.6	6.1	3077620000.0	202.893
4.1	62.78999999999999	28.6	6.1	3077620000.0	202.893
4.1	62.78999999999999	28.6	6.1	3077620000.0	202.893
18.4	54.56	63.9	12.3	6008130000.0	73.31
5.2	72.60000000000001	10.8	3.2	2308800000.0	1.121
	40.830000000000005	116.7	36.5	40696623000.0	-0.0
9.8	22.67	21.0	2.0	6106620000.0	2.826
4.1	75.47	14.8	7.8	3800000000.0	31.62
11.3	98.05	24.0	16.9	1739610000.0	7.157
	45.0	62.5	8.9	3676862000.0	-0.0
9.0	95.66	8.4	5.8	763700000.0	33.064
3.4	24.9	2924.0	19.4	3961727000.0	146.227
5.4	78.92	14.5	14.8	21886200000.0	1.589
1.1					
20.8	0.33	762.7	23.8	98910000000.0	2.419
2.8	51.02	120.1	8.9	3099250000.0	12.616
8.0	91.21000000000002	14.7	3.5	3484416000.0	5.761
4.0	11.0	65.9	7.3	2902809000.0	6.725
3.0	35.05	9.3	10.6	4198103500.0	9.839
2.7					
8.4	6.44	29.2	3.2	3117520000.0	1.575
4.0	87.49	32.2	13.5	4585987500.0	1.291
8.9	25.09	20.5	5.2	29799480000.0	2.233
3.1	13.33	4.4	7.1	10000000000.0	0.745
4.3	38.01	-4.4	6.7	6384520000.0	3.037
	0.0	9.3	2.8	416806500.0	-0.0
4.8	56.02	11.5	3.1	4453702400.0	13.054
5.3	86.88	73.2	2.0	3532100000.0	3.86
6.1	100.01	4662.5	54.8	1674000000.0	45.932
2.8	82.13000000000001	-44.2	103.2	61592350000.0	1.224
3.5	98.41	66.5	26.2	6600000000.0	13.116
5.3	57.74	42.3	2.9	2277000000.0	108.329
9.1	18.72	5.5	15.1	6667100000.0	17.24
9.3	7.539999999999999	18027.9	1634.6	33254560000.0	2.669
14.7	95.0	56.5	13.7	7475000000.0	14.623
3.0	69.72	71.0	5.9	4789620000.0	11.353
5.2	39.52	7.0	4.3	2368666300.0	3.699
2.9	89.91	-9.5	14.5	13320333000.0	4.363
6.1	80.82000000000001	-2.3	7.7	20551826000.0	1.638
11.6	90.16	18.8	4.5	4690620000.0	23.575
3.3	96.21	17.7	4.1	1694040000.0	5.465
17.0	44.07	1429.4	182.3	94656450280.0	0.479
6.5	23.02	13.6	12.8	4146547200.0	11.994
6.3	43.72	12.3	11.9	2939652000.0	51.293
3.2	8.15	12.5	2.8	2488260000.0	16.168
7.1	55.67	28.7	8.0	3058215000.0	43.816
3.7	8.5	6.3	1.2	2378640000.0	25.258
16.1	94.11	386.1	4.1	2783102000.0	92.112
4.6	31.93	60.9	17.6	28705950000.0	1.597
3.6	8.54	15.2	13.3	6701940000.0	2.057
4.1	44.51	120.0	2.4	4178674800.0	7.026
10.2	77.43	795.9	25.4	15232000000.0	1.766
2.9					
2.4	30.25	15.6	5.1	2398530000.0	4.875
1.8	54.24	35.6	3.7	2069727000.0	1.731
4.2	61.14	23.4	20.6	2508912000.0	47.246
3.5	57.31	15.7	12.8	2513728000.0	68.237
4.0	63.41	9.9	14.1	1679040000.0	127.628
10.4	33.44	26.5	8.1	11539500000.0	18.836
3.6	93.87	2.8	5.8	3279340000.0	1.214
	36.73	52.4	4.2	4770500000.0	-0.0
2.7	75.92	35.1	23.6	9686148000.0	8.019
3.5	93.15	45.3	6.9	17238270000.0	4.733
28.9	77.80000000000001	20.5	6.0	6682240000.0	8.373
					
2.7	38.88	4.7	8.6	2438800000.0	3.871
3.4	76.99	13.7	30.8	3960000000.0	12.219
2.5	98.0	20.3	6.7	2200200000.0	15.393
3.9	79.51	-1.0	1.7	2191182000.0	4.622
	57.510000000000005	3.4	12.6	3178560000.0	-0.0
3.3	10.46	-6.8	2.5	2222550000.0	203.389
3.7	58.12	-4.6	3.5	2810538000.0	74.597
1.7	69.74000000000001	16.6	5.0	12622650000.0	0.352
	25.34	48.4	16.7	31283880000.0	-0.0
4.6	30.64			4671240000.0	22.594
2.3	82.94	18.5	15.0	4386900000.0	24.287
2.0					
4.5	91.08	23.8	37.4	11691400000.0	26.617
6.3	97.39	32.3	27.7	10580380000.0	15.316
9.8	73.68	21.9	5.7	2636250000.0	29.608
3.3	96.53	13.9	6.3	6138632430.0	3.576
2.6					
2.7	51.59	54.8	15.6	6009430000.0	28.74
2.6	39.92	7163.5	154.2	3809592000.0	21.436
4.8	71.00999999999999	40.9	10.0	2254000000.0	32.091
3.3	69.5	43.9	7.3	6782468000.0	9.34
7.1	52.99	112.7	5.8	2830190000.0	9.995
2.1	14.46	4.8	2.8	79526720000.0	0.498
2.3	86.52	34.3	6.4	1415000000.0	0.043
2.2	80.8	69.6	17.4	27470712000.0	2.542
1.8	0.0			392000000000.0	1.769
	61.67	61.4	17.3	17782614570.0	-0.0
	12.15			7276680000.0	-0.0
3.9	1.55	16.5	2.9	61229548000.0	0.695
4.9	52.82000000000001	34.5	5.5	1995131040.0	22.003
1.7	79.0	14.8	9.1	3911600000.0	9.806
2.7	53.650000000000006	30.4	15.9	28107830000.0	0.567
6.4	97.44	19.9	26.4	5488000000.0	49.906
2.3	78.94			2322965000.0	10.022
32.1	83.32	26.2	10.8	3634000000.0	92.854
	23.130000000000003	39.1	7.7	2619996000.0	-0.0
6.6	90.46	4.3	10.6	1632540000.0	81.025
8.5	98.5	73.2	15.6	5234500000.0	50.623
8.0	77.88	33.7	13.3	3185040000.0	182.602
9.1	73.2	80.7	1.3	3186568000.0	22.589
					
82.7	35.84	55.9	9.8	36509200000.0	9.062
	84.61	36.5	2.2	7086425000.0	-0.0
1.5					
3.3					
2.5					
	16.450000000000003	75.3	5.6	2343127000.0	-0.0
5.4	44.23	24.6	6.1	1102400000.0	12.75
28.9	90.27	19.3	14.5	4273516000.0	30.896
	95.44	28.5	12.7	587977600000.0	-0.0
4.5	90.43	36.8	5.3	4425440000.0	27.488
2.3	3.23	13.2	30.5	85848000000.0	0.926
5.5	6.390000000000001	2.2	3.3	35903154000.0	1.431
3.6	76.39	25.9	8.6	7420176000.0	11.028
6.7	95.13	48.2	6.2	3977500000.0	30.965
2.6	75.53	0.1	4.0	2950950000.0	15.438
9.9	58.02	26.5	4.4	3100000000.0	65.034
7.4	67.55000000000001	69.9	31.6	8637720000.0	9.031
6.7	52.4	39.3	4.5	3192384000.0	34.571
3.8	55.92	19.4	4.7	10613200000.0	0.319
5.0	87.33	4.1	3.8	2060400000.0	121.951
7.0	57.41	44.4	14.4	6332770000.0	133.259
22.7	65.39	35.7	3.1	1881600000.0	38.642
					
3.8	74.22	48.5	3.6	26309995000.0	0.613
2.3					
16.4	80.33	37.6	6.7	3131385600.0	108.06
3.2	45.86	2.3	6.7	2446200000.0	37.735
	70.48	770.0	22.0	11107970200.0	-0.0
	29.06	12.3	4.6	1948285000.0	-0.0
16.0	86.86000000000001	33.8	16.9	3666300000.0	13.145
5.3	82.25999999999999	16.6	5.1	9018408000.0	25.224
4.7	78.41	3.5	5.8	3926880000.0	2.861
5.3	48.74	1247.2	5.0	4479513600.0	2.801
6.6	47.92	8.8	12.5	1458000000.0	46.994
2.4	40.3	5.9	11.8	6784320000.0	2.371
8.3	36.64	8.7	5.9	14566908900.0	0.746
2.3	97.54	9.7	8.3	10410400000.0	1.236
5.7	68.41	28.8	6.0	1394000000.0	20.393
2.2	78.71	81.8	9.8	17970832000.0	2.309
8.8	43.63			4233830000.0	2.248
6.9	85.96000000000001	200.7	18.4	26002118000.0	12.176
3.2	33.2	0.3	1.6	1526886550.0	16.163
3.9	0.0			39217123000.0	0.357
	97.42	35487.4	788.8	2002500000.0	-0.0
3.8	38.3	187.6	4.5	28410876000.0	0.622
	43.66	47.8	3.5	7440000000.0	-0.0
4.8	99.39	65.6	9.1	7728700000.0	0.645
2.5	83.42	12.5	7.4	6107512000.0	6.346
13.9	43.95	1205.6	23.0	3696479150.0	2.302
3.4	60.26000000000001	11.8	4.1	5642726400.0	2.128
2.8	64.46	13.4	5.1	2082704000.0	1.8
3.3	76.07	10.2	12.4	1856400000.0	5.118
2.6					
18.3	95.01999999999998	18052.7	11.1	9051243750.0	43.568
2.6	99.92	52.4	28.1	9772000000.0	3.111
2.3	25.49	9.6	13.3	10640000000.0	2.795
26.6	76.08	10.1	8.3	4073125000.0	0.0
7.5	1.75	2.7		13695600000.0	20.612
2.8	9.72	19.5	13.6	64762680000.0	1.56
1.4	3.09	4738.4	24.4	44265600000.0	1.022
4.1	68.60000000000001	47.2	2.2	1860300000.0	45.223
5.1	60.0	15.4	8.4	32100000000.0	0.0
	49.650000000000006	22.0	12.0	4754800000.0	-0.0
14.7	30.76	24.1	13.6	2454120000.0	41.182
5.4	43.46	114.5	2.5	20919340000.0	1.12
3.4	50.43	24.0	5.4	4042202000.0	1.765
3.4	97.57	172.6	34.0	28380000000.0	2.756
